vehicleId,tripId,timeUnix,outdoorTemperature,temperatureRotorFront,temperatureRotorBack,velocity
3659478-10880825,3659478-10880825-0,1630503065000,24.5,null,null,null
3659478-10880825,3659478-10880825-0,1630503125000,25.0,null,null,null
3659478-10880825,3659478-10880825-0,1630503185000,25.5,null,null,null
3659478-10880825,3659478-10880825-0,1630503210000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503211000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503212000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503213000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503214000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503215000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503216000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503217000,25.5,null,null,0.0
3659478-10880825,3659478-10880825-0,1630503218000,25.5,32.0,40.0,0.0
3659478-10880825,3659478-10880825-0,1630503219000,25.5,32.0,40.0,0.0
3659478-10880825,3659478-10880825-0,1630503220000,25.5,32.0,40.0,0.0
3659478-10880825,3659478-10880825-0,1630503221000,25.5,32.0,40.0,0.0
3659478-10880825,3659478-10880825-1,1630506803000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506804000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506805000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506806000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506807000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506808000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506809000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506810000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506811000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506812000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506813000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506814000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506815000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506816000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506817000,25.5,31.0,30.0,0.0
3659478-10880825,3659478-10880825-1,1630506818000,25.5,31.0,30.0,0.02
3659478-10880825,3659478-10880825-1,1630506819000,25.5,31.0,30.0,0.84
3659478-10880825,3659478-10880825-1,1630506820000,25.5,31.0,30.0,1.04
3659478-10880825,3659478-10880825-1,1630506821000,25.5,31.0,30.0,0.65
3659478-10880825,3659478-10880825-1,1630506822000,25.5,31.0,30.0,1.09
3659478-10880825,3659478-10880825-1,1630506823000,25.5,31.0,30.0,1.79
3659478-10880825,3659478-10880825-1,1630506824000,25.5,31.0,30.0,2.17
3659478-10880825,3659478-10880825-1,1630506825000,25.5,31.0,30.0,2.23
3659478-10880825,3659478-10880825-1,1630506826000,25.5,31.0,30.0,2.27
3659478-10880825,3659478-10880825-1,1630506827000,25.5,31.0,30.0,2.33
3659478-10880825,3659478-10880825-1,1630506828000,25.5,31.0,30.0,2.0
3659478-10880825,3659478-10880825-1,1630506829000,25.5,31.0,30.0,2.13
3659478-10880825,3659478-10880825-1,1630506830000,25.5,31.0,30.0,2.12
3659478-10880825,3659478-10880825-1,1630506831000,25.5,31.0,30.0,1.63
3659478-10880825,3659478-10880825-1,1630506832000,25.5,31.0,30.0,1.56
3659478-10880825,3659478-10880825-1,1630506833000,25.5,31.0,30.0,1.01
3659478-10880825,3659478-10880825-1,1630506834000,25.5,31.0,30.0,0.61
3659478-10880825,3659478-10880825-1,1630506835000,25.5,31.0,30.0,4.22
3659478-10880825,3659478-10880825-1,1630506836000,25.5,31.0,30.0,8.68
3659478-10880825,3659478-10880825-1,1630506837000,25.5,31.0,30.0,12.11
3659478-10880825,3659478-10880825-1,1630506838000,25.5,31.0,31.0,14.18
3659478-10880825,3659478-10880825-1,1630506839000,25.5,31.0,31.0,14.6
3659478-10880825,3659478-10880825-1,1630506840000,25.5,31.0,31.0,14.66
3659478-10880825,3659478-10880825-1,1630506841000,25.5,31.0,31.0,15.09
3659478-10880825,3659478-10880825-1,1630506842000,25.5,31.0,31.0,15.0
3659478-10880825,3659478-10880825-1,1630506843000,25.5,31.0,31.0,14.6
3659478-10880825,3659478-10880825-1,1630506844000,25.5,31.0,31.0,13.92
3659478-10880825,3659478-10880825-1,1630506845000,25.5,31.0,31.0,12.53
3659478-10880825,3659478-10880825-1,1630506846000,25.5,31.0,31.0,10.51
3659478-10880825,3659478-10880825-1,1630506847000,25.5,31.0,31.0,9.86
3659478-10880825,3659478-10880825-1,1630506848000,25.5,31.0,31.0,9.64
3659478-10880825,3659478-10880825-1,1630506849000,25.5,31.0,31.0,11.58
3659478-10880825,3659478-10880825-1,1630506850000,25.5,31.0,31.0,14.96
3659478-10880825,3659478-10880825-1,1630506851000,25.5,31.0,31.0,17.18
3659478-10880825,3659478-10880825-1,1630506852000,25.5,31.0,31.0,17.2
3659478-10880825,3659478-10880825-1,1630506853000,25.5,31.0,31.0,17.31
3659478-10880825,3659478-10880825-1,1630506854000,25.5,31.0,31.0,18.13
3659478-10880825,3659478-10880825-1,1630506855000,25.5,31.0,31.0,18.92
3659478-10880825,3659478-10880825-1,1630506856000,25.5,31.0,31.0,19.66
3659478-10880825,3659478-10880825-1,1630506857000,25.5,31.0,31.0,19.94
3659478-10880825,3659478-10880825-1,1630506858000,25.5,31.0,31.0,19.58
3659478-10880825,3659478-10880825-1,1630506859000,25.5,31.0,31.0,19.04
3659478-10880825,3659478-10880825-1,1630506860000,25.5,31.0,31.0,18.52
3659478-10880825,3659478-10880825-1,1630506861000,25.5,31.0,31.0,18.1
